iter	Passed	Remaining
0	147	14641
1	150	7394
2	155	5015
3	158	3812
4	162	3089
5	166	2601
6	169	2255
7	173	1997
8	177	1791
9	180	1627
10	185	1497
11	189	1389
12	193	1294
13	197	1212
14	201	1142
15	205	1077
16	209	1022
17	213	971
18	217	925
19	220	883
20	224	845
21	228	810
22	232	779
23	236	748
24	240	721
25	244	695
26	248	672
27	251	647
28	255	625
29	259	605
30	263	585
31	266	566
32	270	549
33	274	532
34	277	516
35	281	500
36	285	485
37	288	471
38	292	457
39	296	444
40	299	431
41	303	418
42	309	409
43	312	398
44	317	387
45	321	376
46	324	365
47	327	355
48	331	344
49	335	335
50	339	326
51	343	317
52	347	308
53	351	299
54	355	291
55	359	282
56	363	273
57	367	266
58	371	258
59	374	249
60	379	242
61	383	234
62	386	227
63	391	219
64	394	212
65	399	205
66	403	198
67	407	191
68	411	185
69	416	178
70	419	171
71	423	164
72	427	158
73	431	151
74	435	145
75	439	138
76	444	132
77	449	126
78	454	120
79	459	114
80	463	108
81	467	102
82	472	96
83	476	90
84	480	84
85	485	78
86	489	73
87	492	67
88	497	61
89	500	55
90	504	49
91	508	44
92	511	38
93	515	32
94	519	27
95	523	21
96	526	16
97	530	10
98	534	5
99	537	0
